36.877333 139.411000 3.410000 1.700000 2013 2 1 0 13 8.320000
36.989167 139.467667 7.210000 0.200000 2013 2 4 10 43 29.310000
36.808333 139.469667 4.500000 1.100000 2013 2 5 7 43 24.160000
36.807667 139.468333 4.170000 0.600000 2013 2 5 7 43 30.350000
36.808833 139.467667 4.750000 1.600000 2013 2 5 7 54 4.160000
36.806667 139.470167 3.950000 0.200000 2013 2 5 7 56 1.580000
36.808000 139.470167 4.310000 0.000000 2013 2 5 7 56 45.280000
36.903000 139.390833 4.000000 0.500000 2013 2 8 4 4 56.400000
36.857333 139.443667 3.160000 0.100000 2013 2 10 2 52 7.850000
36.994333 139.388667 7.010000 0.900000 2013 2 11 0 10 30.060000
36.996667 139.391167 6.510000 0.900000 2013 2 11 0 27 31.030000
36.997000 139.387667 7.090000 0.600000 2013 2 11 1 1 0.570000
36.996833 139.390667 7.150000 0.800000 2013 2 11 2 27 50.930000
36.995000 139.392667 6.840000 1.000000 2013 2 11 23 53 11.480000
36.995500 139.398333 7.170000 0.500000 2013 2 12 0 5 50.060000
36.995000 139.387667 7.220000 0.900000 2013 2 13 19 42 16.920000
36.892333 139.414500 4.220000 0.600000 2013 2 17 20 50 25.160000
36.991000 139.394333 6.350000 0.500000 2013 2 22 15 37 37.070000
36.876667 139.406333 3.040000 2.500000 2013 2 23 13 5 11.990000
36.877000 139.413167 2.860000 1.000000 2013 2 23 13 5 45.700000
36.877833 139.411167 3.470000 0.400000 2013 2 23 13 6 6.540000
36.879000 139.413167 3.670000 0.800000 2013 2 23 13 9 44.570000
36.877167 139.406500 3.010000 2.700000 2013 2 23 15 2 33.350000
36.874167 139.411500 3.700000 1.200000 2013 2 23 19 14 53.160000
36.878000 139.411667 3.390000 0.300000 2013 2 24 0 32 19.320000
36.881500 139.412167 3.010000 0.300000 2013 2 24 2 52 42.730000
36.881000 139.408500 3.460000 0.900000 2013 2 24 2 52 52.780000
36.874667 139.412833 3.380000 1.500000 2013 2 24 8 34 59.720000
36.874500 139.416000 4.070000 1.300000 2013 2 24 8 35 19.460000
36.872500 139.411333 3.760000 0.600000 2013 2 24 9 16 27.230000
36.879333 139.412500 3.240000 0.700000 2013 2 24 9 40 30.330000
36.873667 139.413667 3.450000 0.800000 2013 2 24 10 5 21.280000
36.878667 139.413667 3.500000 1.000000 2013 2 24 15 41 10.160000
36.874833 139.413500 2.600000 0.600000 2013 2 24 16 20 14.300000
36.879833 139.412167 3.130000 0.300000 2013 2 24 18 56 5.540000
36.880667 139.408333 3.190000 0.600000 2013 2 24 18 56 15.630000
36.874500 139.416167 3.310000 0.600000 2013 2 24 21 28 47.300000
36.874833 139.412500 3.420000 0.900000 2013 2 24 22 29 48.220000
36.872167 139.412000 3.070000 0.800000 2013 2 25 2 57 9.740000
36.879500 139.407833 3.200000 2.100000 2013 2 25 13 37 59.690000
36.878833 139.408833 3.080000 1.500000 2013 2 25 13 43 17.350000
36.878333 139.411667 2.740000 0.500000 2013 2 25 13 47 33.170000
36.878000 139.410833 3.140000 0.700000 2013 2 25 14 57 4.840000
36.877000 139.407500 2.790000 3.600000 2013 2 25 15 26 49.110000
36.873833 139.415333 3.120000 1.000000 2013 2 25 15 28 41.390000
36.876000 139.416333 3.550000 0.800000 2013 2 25 15 29 6.840000
36.873333 139.413667 3.400000 0.800000 2013 2 25 15 30 48.380000
36.876167 139.413333 3.610000 1.100000 2013 2 25 15 33 27.190000
36.872833 139.410667 3.090000 2.400000 2013 2 25 15 35 9.140000
36.874333 139.412667 3.500000 1.200000 2013 2 25 15 36 8.830000
36.872000 139.412333 3.870000 1.100000 2013 2 25 15 36 54.590000
36.873000 139.414333 3.590000 1.800000 2013 2 25 15 37 21.680000
36.874833 139.416500 3.520000 0.300000 2013 2 25 15 39 0.960000
36.872833 139.414000 3.650000 1.900000 2013 2 25 15 40 25.410000
36.874833 139.413833 3.500000 1.300000 2013 2 25 15 40 52.640000
36.872333 139.415000 3.650000 2.200000 2013 2 25 15 41 35.790000
36.874500 139.414333 3.200000 1.000000 2013 2 25 15 42 6.600000
36.881167 139.405333 2.820000 0.400000 2013 2 25 15 43 22.230000
36.873667 139.409833 2.820000 2.600000 2013 2 25 15 43 45.800000
36.870333 139.415333 3.710000 1.400000 2013 2 25 15 54 9.080000
36.871833 139.416500 3.500000 0.900000 2013 2 25 15 58 25.090000
36.875000 139.413833 3.590000 0.700000 2013 2 25 15 59 31.810000
36.871667 139.414167 3.570000 0.900000 2013 2 25 16 0 12.980000
36.871000 139.415667 3.820000 1.500000 2013 2 25 16 4 45.630000
36.871167 139.412333 2.890000 1.100000 2013 2 25 16 8 50.070000
36.876333 139.412333 3.670000 1.600000 2013 2 25 16 10 43.590000
36.878333 139.411833 3.890000 1.600000 2013 2 25 16 12 10.080000
36.875833 139.414167 3.580000 1.200000 2013 2 25 16 20 41.080000
36.873667 139.412833 2.840000 6.300000 2013 2 25 16 23 53.580000
36.859167 139.421167 4.010000 2.800000 2013 2 25 16 26 43.430000
36.860833 139.419667 3.440000 3.100000 2013 2 25 16 26 59.590000
36.893667 139.400667 4.350000 3.100000 2013 2 25 16 27 42.160000
36.885000 139.409333 3.830000 3.000000 2013 2 25 16 28 7.170000
36.888833 139.416500 3.590000 2.500000 2013 2 25 16 28 49.020000
36.868833 139.416500 3.340000 2.200000 2013 2 25 16 29 29.380000
36.892167 139.409500 3.420000 3.100000 2013 2 25 16 29 54.630000
36.921667 139.396667 3.740000 2.300000 2013 2 25 16 30 44.560000
